actor,movie,movie_year,role_sentence,role_size
Adam Sandler,The Master of Disguise,2002,"In The Master of Disguise, Adam Sandler had a small role.",small
Adam Sandler,Anger Management,2003,"In Anger Management, Adam Sandler had a large role.",large
Adam Sandler,Couch,2003,"In Couch, Adam Sandler had a small role.",small
Adam Sandler,Dickie Roberts: Former Child Star,2003,"In Dickie Roberts: Former Child Star, Adam Sandler had a small role.",small
Adam Sandler,Pauly Shore Is Dead,2003,"In Pauly Shore Is Dead, Adam Sandler had a small role.",small
Adam Sandler,Stupidity,2003,"In Stupidity, Adam Sandler had a small role.",small
Adam Sandler,50 First Dates,2004,"In 50 First Dates, Adam Sandler had a large role.",large
Adam Sandler,Spanglish,2004,"In Spanglish, Adam Sandler had a large role.",large
Adam Sandler,Deuce Bigalow: European Gigolo,2005,"In Deuce Bigalow: European Gigolo, Adam Sandler had a small role.",small
Adam Sandler,The Longest Yard,2005,"In The Longest Yard, Adam Sandler had a large role.",large
Adam Sandler,Click,2006,"In Click, Adam Sandler had a large role.",large
Adam Sandler,The Benchwarmers,2006,"In The Benchwarmers, Adam Sandler had a small role.",small
Adam Sandler,I Now Pronounce You Chuck & Larry,2007,"In I Now Pronounce You Chuck & Larry, Adam Sandler had a large role.",large
Adam Sandler,Reign Over Me,2007,"In Reign Over Me, Adam Sandler had a large role.",large
Adam Sandler,Bedtime Stories,2008,"In Bedtime Stories, Adam Sandler had a large role.",large
Adam Sandler,Strange Wilderness,2008,"In Strange Wilderness, Adam Sandler had a small role.",small
Adam Sandler,The House Bunny,2008,"In The House Bunny, Adam Sandler had a small role.",small
Adam Sandler,Funny People,2009,"In Funny People, Adam Sandler had a large role.",large
Adam Sandler,Paul Blart: Mall Cop,2009,"In Paul Blart: Mall Cop, Adam Sandler had a small role.",small
Adam Sandler,The Shortcut,2009,"In The Shortcut, Adam Sandler had a small role.",small
Adam Sandler,Grown Ups,2010,"In Grown Ups, Adam Sandler had a large role.",large
Adam Sandler,Bucky Larson: Born to Be a Star,2011,"In Bucky Larson: Born to Be a Star, Adam Sandler had a small role.",small
Adam Sandler,Jack and Jill,2011,"In Jack and Jill, Adam Sandler had a large role.",large
Adam Sandler,Just Go with It,2011,"In Just Go with It, Adam Sandler had a large role.",large
Adam Sandler,Zookeeper,2011,"In Zookeeper, Adam Sandler had a small role.",small
Adam Sandler,Here Comes the Boom,2012,"In Here Comes the Boom, Adam Sandler had a large role.",large
Adam Sandler,Hotel Transylvania,2012,"In Hotel Transylvania, Adam Sandler had a large role.",large
Adam Sandler,Grown Ups 2,2013,"In Grown Ups 2, Adam Sandler had a large role.",large
Adam Sandler,Blended,2014,"In Blended, Adam Sandler had a large role.",large
Adam Sandler,"Men, Women & Children",2014,"In Men, Women & Children, Adam Sandler had a large role.",large
Adam Sandler,The Cobbler,2014,"In The Cobbler, Adam Sandler had a large role.",large
Adam Sandler,Top Five,2014,"In Top Five, Adam Sandler had a small role.",small
Adam Sandler,Hotel Transylvania 2,2015,"In Hotel Transylvania 2, Adam Sandler had a large role.",large
Adam Sandler,I Am Chris Farley,2015,"In I Am Chris Farley, Adam Sandler had a small role.",small
Adam Sandler,Joe Dirt 2: Beautiful Loser,2015,"In Joe Dirt 2: Beautiful Loser, Adam Sandler had a small role.",small
Adam Sandler,Paul Blart: Mall Cop 2,2015,"In Paul Blart: Mall Cop 2, Adam Sandler had a small role.",small
Adam Sandler,Pixels,2015,"In Pixels, Adam Sandler had a large role.",large
Adam Sandler,The Ridiculous 6,2015,"In The Ridiculous 6, Adam Sandler had a large role.",large
Adam Sandler,The Do-Over,2016,"In The Do-Over, Adam Sandler had a large role.",large
Adam Sandler,Puppy!,2017,"In Puppy!, Adam Sandler had a large role.",large
Adam Sandler,Sandy Wexler,2017,"In Sandy Wexler, Adam Sandler had a large role.",large
Adam Sandler,The Meyerowitz Stories (New and Selected),2017,"In The Meyerowitz Stories (New and Selected), Adam Sandler had a large role.",large
Adam Sandler,Hotel Transylvania 3: Summer Vacation,2018,"In Hotel Transylvania 3: Summer Vacation, Adam Sandler had a large role.",large
Adam Sandler,The Week Of,2018,"In The Week Of, Adam Sandler had a large role.",large
Adam Sandler,Murder Mystery,2019,"In Murder Mystery, Adam Sandler had a large role.",large
Adam Sandler,Uncut Gems,2019,"In Uncut Gems, Adam Sandler had a large role.",large
Adam Sandler,Goldman v Silverman,2020,"In Goldman v Silverman, Adam Sandler had a large role.",large
Adam Sandler,Hubie Halloween,2020,"In Hubie Halloween, Adam Sandler had a large role.",large
Adam Sandler,Nature Planet,2020,"In Nature Planet, Adam Sandler had a large role.",large
Adam Sandler,The Wrong Missy,2020,"In The Wrong Missy, Adam Sandler had a small role.",small
Adam Sandler,Home Team,2022,"In Home Team, Adam Sandler had a small role.",small
Adam Sandler,Hustle,2022,"In Hustle, Adam Sandler had a large role.",large
Adam Sandler,Norm Macdonald: Nothing Special,2022,"In Norm Macdonald: Nothing Special, Adam Sandler had a small role.",small
Adam Sandler,Leo,2023,"In Leo, Adam Sandler had a large role.",large
Adam Sandler,Murder Mystery 2,2023,"In Murder Mystery 2, Adam Sandler had a large role.",large
Adam Sandler,The Out-Laws,2023,"In The Out-Laws, Adam Sandler had a small role.",small
Adam Sandler,You Are So Not Invited to My Bat Mitzvah,2023,"In You Are So Not Invited to My Bat Mitzvah, Adam Sandler had a large role.",large
Adam Sandler,Spaceman,2024,"In Spaceman, Adam Sandler had a large role.",large
Adam Sandler,Being Eddie,2025,"In Being Eddie, Adam Sandler had a large role.",large
Adam Sandler,Happy Gilmore 2,2025,"In Happy Gilmore 2, Adam Sandler had a large role.",large
Adam Sandler,Jay Kelly,2025,"In Jay Kelly, Adam Sandler had a large role.",large
Adam Sandler,Kinda Pregnant,2025,"In Kinda Pregnant, Adam Sandler had a large role.",large
Adam Sandler,Roommates,2025,"In Roommates, Adam Sandler had a small role.",small
Adam Sandler,Stans,2025,"In Stans, Adam Sandler had a small role.",small
Al Pacino,"Me, Natalie",1969,"In Me, Natalie, Al Pacino had a large role.",large
Al Pacino,The Panic in Needle Park,1971,"In The Panic in Needle Park, Al Pacino had a large role.",large
Al Pacino,The Godfather,1972,"In The Godfather, Al Pacino had a large role.",large
Al Pacino,Scarecrow,1973,"In Scarecrow, Al Pacino had a large role.",large
Al Pacino,The Godfather Part II,1974,"In The Godfather Part II, Al Pacino had a large role.",large
Al Pacino,Dog Day Afternoon,1975,"In Dog Day Afternoon, Al Pacino had a large role.",large
Al Pacino,Bobby Deerfield,1977,"In Bobby Deerfield, Al Pacino had a large role.",large
Al Pacino,...And Justice for All]],1979,"In ...And Justice for All]], Al Pacino had a large role.",large
Al Pacino,Cruising,1980,"In Cruising, Al Pacino had a large role.",large
Al Pacino,Author! Author!,1982,"In Author! Author!, Al Pacino had a large role.",large
Al Pacino,Scarface,1983,"In Scarface, Al Pacino had a large role.",large
Al Pacino,Revolution,1985,"In Revolution, Al Pacino had a large role.",large
Al Pacino,Sea of Love,1989,"In Sea of Love, Al Pacino had a large role.",large
Al Pacino,Dick Tracy,1990,"In Dick Tracy, Al Pacino had a large role.",large
Al Pacino,The Godfather Part III,1990,"In The Godfather Part III, Al Pacino had a large role.",large
Al Pacino,The Local Stigmatic,1990,"In The Local Stigmatic, Al Pacino had a large role.",large
Al Pacino,Frankie and Johnny,1991,"In Frankie and Johnny, Al Pacino had a large role.",large
Al Pacino,Madonna: Truth or Dare,1991,"In Madonna: Truth or Dare, Al Pacino had a small role.",small
Al Pacino,Glengarry Glen Ross,1992,"In Glengarry Glen Ross, Al Pacino had a large role.",large
Al Pacino,Scent of a Woman,1992,"In Scent of a Woman, Al Pacino had a large role.",large
Al Pacino,Carlito's Way,1993,"In Carlito's Way, Al Pacino had a large role.",large
Al Pacino,Heat,1995,"In Heat, Al Pacino had a large role.",large
Al Pacino,Two Bits,1995,"In Two Bits, Al Pacino had a large role.",large
Al Pacino,City Hall,1996,"In City Hall, Al Pacino had a large role.",large
Al Pacino,Looking for Richard,1996,"In Looking for Richard, Al Pacino had a large role.",large
Al Pacino,Donnie Brasco,1997,"In Donnie Brasco, Al Pacino had a large role.",large
Al Pacino,Pitch,1997,"In Pitch, Al Pacino had a large role.",large
Al Pacino,Satan,1997,"In Satan, Al Pacino had a large role.",large
Al Pacino,Any Given Sunday,1999,"In Any Given Sunday, Al Pacino had a large role.",large
Al Pacino,Chinese Coffee,2000,"In Chinese Coffee, Al Pacino had a large role.",large
Al Pacino,America: A Tribute to Heroes,2001,"In America: A Tribute to Heroes, Al Pacino had a small role.",small
Al Pacino,Insomnia,2002,"In Insomnia, Al Pacino had a large role.",large
Al Pacino,Two for the Money,2005,"In Two for the Money, Al Pacino had a large role.",large
Al Pacino,88 Minutes,2007,"In 88 Minutes, Al Pacino had a large role.",large
Al Pacino,Brando,2007,"In Brando, Al Pacino had a small role.",small
Al Pacino,Righteous Kill,2008,"In Righteous Kill, Al Pacino had a large role.",large
Al Pacino,I Knew It Was You,2009,"In I Knew It Was You, Al Pacino had a small role.",small
Al Pacino,The Son of No One,2011,"In The Son of No One, Al Pacino had a large role.",large
Al Pacino,Wilde Salomé,2011,"In Wilde Salomé, Al Pacino had a large role.",large
Al Pacino,Casting By,2012,"In Casting By, Al Pacino had a small role.",small
Al Pacino,Stand Up Guys,2012,"In Stand Up Guys, Al Pacino had a large role.",large
Al Pacino,Salomé,2013,"In Salomé, Al Pacino had a large role.",large
Al Pacino,Manglehorn,2014,"In Manglehorn, Al Pacino had a large role.",large
Al Pacino,Danny Collins,2015,"In Danny Collins, Al Pacino had a large role.",large
Al Pacino,Misconduct,2016,"In Misconduct, Al Pacino had a large role.",large
Al Pacino,Frank Serpico,2017,"In Frank Serpico, Al Pacino had a small role.",small
Al Pacino,Julian Schnabel: A Private Portrait,2017,"In Julian Schnabel: A Private Portrait, Al Pacino had a small role.",small
Al Pacino,Gigli,2018,"In Gigli, Al Pacino had a large role.",large
Al Pacino,Hangman,2018,"In Hangman, Al Pacino had a large role.",large
Al Pacino,Jack and Jill,2018,"In Jack and Jill, Al Pacino had a small role.",small
Al Pacino,Ocean's Thirteen,2018,"In Ocean's Thirteen, Al Pacino had a large role.",large
Al Pacino,People I Know,2018,"In People I Know, Al Pacino had a large role.",large
Al Pacino,Serpico,2018,"In Serpico, Al Pacino had a large role.",large
Al Pacino,Simone,2018,"In Simone, Al Pacino had a large role.",large
Al Pacino,Once Upon a Time in Hollywood,2019,"In Once Upon a Time in Hollywood, Al Pacino had a large role.",large
Al Pacino,The Irishman,2019,"In The Irishman, Al Pacino had a large role.",large
Al Pacino,American Traitor: The Trial of Axis Sally,2021,"In American Traitor: The Trial of Axis Sally, Al Pacino had a large role.",large
Al Pacino,House of Gucci,2021,"In House of Gucci, Al Pacino had a large role.",large
Al Pacino,Knox Goes Away,2023,"In Knox Goes Away, Al Pacino had a large role.",large
Al Pacino,"Modì, Three Days on the Wing of Madness",2024,"In Modì, Three Days on the Wing of Madness, Al Pacino had a large role.",large
Al Pacino,Billy Knight,2025,"In Billy Knight, Al Pacino had a large role.",large
Al Pacino,Dead Man's Wire,2025,"In Dead Man's Wire, Al Pacino had a large role.",large
Al Pacino,Easy's Waltz,2025,"In Easy's Waltz, Al Pacino had a large role.",large
Al Pacino,Father Joe,2025,"In Father Joe, Al Pacino had a large role.",large
Al Pacino,In the Hand of Dante,2025,"In In the Hand of Dante, Al Pacino had a large role.",large
Al Pacino,Killing Castro,2025,"In Killing Castro, Al Pacino had a large role.",large
Al Pacino,Lear Rex,2025,"In Lear Rex, Al Pacino had a large role.",large
Al Pacino,Maserati: The Brothers,2025,"In Maserati: The Brothers, Al Pacino had a large role.",large
Amy Adams,Drop Dead Gorgeous,1999,"In Drop Dead Gorgeous, Amy Adams had a small role.",small
Amy Adams,Psycho Beach Party,2000,"In Psycho Beach Party, Amy Adams had a small role.",small
Amy Adams,The Chromium Hook,2000,"In The Chromium Hook, Amy Adams had a small role.",small
Amy Adams,The Slaughter Rule,2002,"In The Slaughter Rule, Amy Adams had a small role.",small
Amy Adams,The Last Run]],2004,"In The Last Run]], Amy Adams had a large role.",large
Amy Adams,The Wedding Date,2005,"In The Wedding Date, Amy Adams had a small role.",small
Amy Adams,Pennies,2006,"In Pennies, Amy Adams had a small role.",small
Amy Adams,Talladega Nights: The Ballad of Ricky Bobby,2006,"In Talladega Nights: The Ballad of Ricky Bobby, Amy Adams had a large role.",large
Amy Adams,Enchanted,2007,"In Enchanted, Amy Adams had a large role.",large
Amy Adams,Underdog,2007,"In Underdog, Amy Adams had a large role.",large
Amy Adams,Doubt,2008,"In Doubt, Amy Adams had a large role.",large
Amy Adams,Miss Pettigrew Lives for a Day,2008,"In Miss Pettigrew Lives for a Day, Amy Adams had a large role.",large
Amy Adams,Sunshine Cleaning,2008,"In Sunshine Cleaning, Amy Adams had a large role.",large
Amy Adams,Julie & Julia,2009,"In Julie & Julia, Amy Adams had a large role.",large
Amy Adams,Night at the Museum: Battle of the Smithsonian,2009,"In Night at the Museum: Battle of the Smithsonian, Amy Adams had a small role.",small
Amy Adams,Leap Year,2010,"In Leap Year, Amy Adams had a large role.",large
Amy Adams,Junebug,2011,"In Junebug, Amy Adams had a large role.",large
Amy Adams,The Muppets]],2011,"In The Muppets]], Amy Adams had a large role.",large
Amy Adams,On the Road,2012,"In On the Road, Amy Adams had a large role.",large
Amy Adams,The Master]],2012,"In The Master]], Amy Adams had a large role.",large
Amy Adams,Trouble with the Curve,2012,"In Trouble with the Curve, Amy Adams had a large role.",large
Amy Adams,American Hustle,2013,"In American Hustle, Amy Adams had a large role.",large
Amy Adams,Her,2013,"In Her, Amy Adams had a small role.",small
Amy Adams,Man of Steel,2013,"In Man of Steel, Amy Adams had a large role.",large
Amy Adams,Big Eyes,2014,"In Big Eyes, Amy Adams had a large role.",large
Amy Adams,Lullaby,2014,"In Lullaby, Amy Adams had a large role.",large
Amy Adams,Muppets Most Wanted,2014,"In Muppets Most Wanted, Amy Adams had a small role.",small
Amy Adams,Catch Me If You Can,2015,"In Catch Me If You Can, Amy Adams had a large role.",large
Amy Adams,Charlie Wilson's War,2015,"In Charlie Wilson's War, Amy Adams had a small role.",small
Amy Adams,Cruel Intentions 2,2015,"In Cruel Intentions 2, Amy Adams had a small role.",small
Amy Adams,Love & Distrust,2015,"In Love & Distrust, Amy Adams had a small role.",small
Amy Adams,Moonlight Serenade,2015,"In Moonlight Serenade, Amy Adams had a small role.",small
Amy Adams,Pumpkin,2015,"In Pumpkin, Amy Adams had a small role.",small
Amy Adams,Serving Sara,2015,"In Serving Sara, Amy Adams had a small role.",small
Amy Adams,Standing Still,2015,"In Standing Still, Amy Adams had a small role.",small
Amy Adams,Stephen Tobolowsky's Birthday Party,2015,"In Stephen Tobolowsky's Birthday Party, Amy Adams had a small role.",small
Amy Adams,Tenacious D in The Pick of Destiny,2015,"In Tenacious D in The Pick of Destiny, Amy Adams had a small role.",small
Amy Adams,The Ex]],2015,"In The Ex]], Amy Adams had a large role.",large
Amy Adams,The Fighter,2015,"In The Fighter, Amy Adams had a large role.",large
Amy Adams,Arrival,2016,"In Arrival, Amy Adams had a large role.",large
Amy Adams,Batman v Superman: Dawn of Justice,2016,"In Batman v Superman: Dawn of Justice, Amy Adams had a large role.",large
Amy Adams,Nocturnal Animals,2016,"In Nocturnal Animals, Amy Adams had a large role.",large
Amy Adams,Justice League,2017,"In Justice League, Amy Adams had a large role.",large
Amy Adams,Vice,2018,"In Vice, Amy Adams had a large role.",large
Amy Adams,Hillbilly Elegy,2020,"In Hillbilly Elegy, Amy Adams had a large role.",large
Amy Adams,Dear Evan Hansen,2021,"In Dear Evan Hansen, Amy Adams had a large role.",large
Amy Adams,The Woman in the Window]],2021,"In The Woman in the Window]], Amy Adams had a large role.",large
Amy Adams,Disenchanted,2022,"In Disenchanted, Amy Adams had a large role.",large
Amy Adams,Sam & Kate,2022,"In Sam & Kate, Amy Adams had a large role.",large
Amy Adams,Nightbitch,2024,"In Nightbitch, Amy Adams had a large role.",large
Amy Adams,At the Sea,2026,"In At the Sea, Amy Adams had a large role.",large
Amy Adams,Klara and the Sun,2026,"In Klara and the Sun, Amy Adams had a large role.",large
Amy Adams,Star Wars: Starfighter,2027,"In Star Wars: Starfighter, Amy Adams had a large role.",large
Angelina Jolie,Alice & Viril,1993,"In Alice & Viril, Angelina Jolie had a small role.",small
Angelina Jolie,Angela & Viril,1993,"In Angela & Viril, Angelina Jolie had a small role.",small
Angelina Jolie,Cyborg 2,1993,"In Cyborg 2, Angelina Jolie had a large role.",large
Angelina Jolie,Hackers,1995,"In Hackers, Angelina Jolie had a large role.",large
Angelina Jolie,Foxfire,1996,"In Foxfire, Angelina Jolie had a large role.",large
Angelina Jolie,Love Is All There Is,1996,"In Love Is All There Is, Angelina Jolie had a small role.",small
Angelina Jolie,Mojave Moon,1996,"In Mojave Moon, Angelina Jolie had a small role.",small
Angelina Jolie,Without Evidence,1996,"In Without Evidence, Angelina Jolie had a small role.",small
Angelina Jolie,Playing God,1997,"In Playing God, Angelina Jolie had a small role.",small
Angelina Jolie,Playing by Heart,1998,"In Playing by Heart, Angelina Jolie had a large role.",large
Angelina Jolie,"Girl, Interrupted",1999,"In Girl, Interrupted, Angelina Jolie had a large role.",large
Angelina Jolie,Pushing Tin,1999,"In Pushing Tin, Angelina Jolie had a small role.",small
Angelina Jolie,Gone in 60 Seconds,2000,"In Gone in 60 Seconds, Angelina Jolie had a large role.",large
Angelina Jolie,Lara Croft: Tomb Raider,2001,"In Lara Croft: Tomb Raider, Angelina Jolie had a large role.",large
Angelina Jolie,Original Sin,2001,"In Original Sin, Angelina Jolie had a large role.",large
Angelina Jolie,Life or Something Like It,2002,"In Life or Something Like It, Angelina Jolie had a large role.",large
Angelina Jolie,Beyond Borders,2003,"In Beyond Borders, Angelina Jolie had a large role.",large
Angelina Jolie,Lara Croft: Tomb Raider – The Cradle of Life,2003,"In Lara Croft: Tomb Raider – The Cradle of Life, Angelina Jolie had a large role.",large
Angelina Jolie,Alexander,2004,"In Alexander, Angelina Jolie had a large role.",large
Angelina Jolie,Shark Tale,2004,"In Shark Tale, Angelina Jolie had a small role.",small
Angelina Jolie,Sky Captain and the World of Tomorrow,2004,"In Sky Captain and the World of Tomorrow, Angelina Jolie had a small role.",small
Angelina Jolie,Taking Lives,2004,"In Taking Lives, Angelina Jolie had a large role.",large
Angelina Jolie,The Fever,2004,"In The Fever, Angelina Jolie had a small role.",small
Angelina Jolie,Confessions of an Action Star,2005,"In Confessions of an Action Star, Angelina Jolie had a small role.",small
Angelina Jolie,Mr. & Mrs. Smith,2005,"In Mr. & Mrs. Smith, Angelina Jolie had a large role.",large
Angelina Jolie,A Mighty Heart (film),2007,"In A Mighty Heart (film), Angelina Jolie had a large role.",large
Angelina Jolie,Beowulf,2007,"In Beowulf, Angelina Jolie had a large role.",large
Angelina Jolie,Changeling,2008,"In Changeling, Angelina Jolie had a large role.",large
Angelina Jolie,Kung Fu Panda,2008,"In Kung Fu Panda, Angelina Jolie had a large role.",large
Angelina Jolie,Wanted,2008,"In Wanted, Angelina Jolie had a large role.",large
Angelina Jolie,Salt,2010,"In Salt, Angelina Jolie had a large role.",large
Angelina Jolie,The Tourist,2010,"In The Tourist, Angelina Jolie had a large role.",large
Angelina Jolie,Kung Fu Panda 2,2011,"In Kung Fu Panda 2, Angelina Jolie had a large role.",large
Angelina Jolie,Kung Fu Panda: Secrets of the Masters,2011,"In Kung Fu Panda: Secrets of the Masters, Angelina Jolie had a small role.",small
Angelina Jolie,Maleficent,2014,"In Maleficent, Angelina Jolie had a large role.",large
Angelina Jolie,By the Sea,2015,"In By the Sea, Angelina Jolie had a large role.",large
Angelina Jolie,Kung Fu Panda 3,2016,"In Kung Fu Panda 3, Angelina Jolie had a large role.",large
Angelina Jolie,Maleficent: Mistress of Evil,2019,"In Maleficent: Mistress of Evil, Angelina Jolie had a large role.",large
Angelina Jolie,Come Away,2020,"In Come Away, Angelina Jolie had a large role.",large
Angelina Jolie,The One and Only Ivan,2020,"In The One and Only Ivan, Angelina Jolie had a small role.",small
Angelina Jolie,Eternals,2021,"In Eternals, Angelina Jolie had a small role.",small
Angelina Jolie,Those Who Wish Me Dead,2021,"In Those Who Wish Me Dead, Angelina Jolie had a large role.",large
Angelina Jolie,Maria,2024,"In Maria, Angelina Jolie had a large role.",large
Angelina Jolie,Couture,2025,"In Couture, Angelina Jolie had a large role.",large
Anne Hathaway,The Princess Diaries,2001,"In The Princess Diaries, Anne Hathaway had a large role.",large
Anne Hathaway,Nicholas Nickleby,2002,"In Nicholas Nickleby, Anne Hathaway had a large role.",large
Anne Hathaway,The Cat Returns,2003,"In The Cat Returns, Anne Hathaway had a small role.",small
Anne Hathaway,Ella Enchanted,2004,"In Ella Enchanted, Anne Hathaway had a large role.",large
Anne Hathaway,The Princess Diaries 2: Royal Engagement,2004,"In The Princess Diaries 2: Royal Engagement, Anne Hathaway had a large role.",large
Anne Hathaway,Hoodwinked!,2005,"In Hoodwinked!, Anne Hathaway had a small role.",small
Anne Hathaway,The Devil Wears Prada,2006,"In The Devil Wears Prada, Anne Hathaway had a large role.",large
Anne Hathaway,A Place in Time,2007,"In A Place in Time, Anne Hathaway had a small role.",small
Anne Hathaway,Becoming Jane,2007,"In Becoming Jane, Anne Hathaway had a large role.",large
Anne Hathaway,Get Smart,2008,"In Get Smart, Anne Hathaway had a large role.",large
Anne Hathaway,Get Smart's Bruce and Lloyd: Out of Control,2008,"In Get Smart's Bruce and Lloyd: Out of Control, Anne Hathaway had a small role.",small
Anne Hathaway,Rachel Getting Married,2008,"In Rachel Getting Married, Anne Hathaway had a large role.",large
Anne Hathaway,Bride Wars,2009,"In Bride Wars, Anne Hathaway had a large role.",large
Anne Hathaway,PoliWood,2009,"In PoliWood, Anne Hathaway had a small role.",small
Anne Hathaway,Alice in Wonderland,2010,"In Alice in Wonderland, Anne Hathaway had a large role.",large
Anne Hathaway,Love & Other Drugs,2010,"In Love & Other Drugs, Anne Hathaway had a large role.",large
Anne Hathaway,Valentine's Day,2010,"In Valentine's Day, Anne Hathaway had a large role.",large
Anne Hathaway,One Day,2011,"In One Day, Anne Hathaway had a large role.",large
Anne Hathaway,Rio,2011,"In Rio, Anne Hathaway had a large role.",large
Anne Hathaway,Les Misérables,2012,"In Les Misérables, Anne Hathaway had a large role.",large
Anne Hathaway,The Dark Knight Rises,2012,"In The Dark Knight Rises, Anne Hathaway had a large role.",large
Anne Hathaway,Girl Rising,2013,"In Girl Rising, Anne Hathaway had a small role.",small
Anne Hathaway,Rio 2,2014,"In Rio 2, Anne Hathaway had a large role.",large
Anne Hathaway,Song One,2014,"In Song One, Anne Hathaway had a large role.",large
Anne Hathaway,The Intern,2015,"In The Intern, Anne Hathaway had a large role.",large
Anne Hathaway,Alice Through the Looking Glass,2016,"In Alice Through the Looking Glass, Anne Hathaway had a large role.",large
Anne Hathaway,Colossal,2016,"In Colossal, Anne Hathaway had a large role.",large
Anne Hathaway,10 Mountains 10 Years,2017,"In 10 Mountains 10 Years, Anne Hathaway had a small role.",small
Anne Hathaway,Brokeback Mountain,2017,"In Brokeback Mountain, Anne Hathaway had a small role.",small
Anne Hathaway,Don Jon,2017,"In Don Jon, Anne Hathaway had a small role.",small
Anne Hathaway,Don Peyote,2017,"In Don Peyote, Anne Hathaway had a small role.",small
Anne Hathaway,Havoc,2017,"In Havoc, Anne Hathaway had a large role.",large
Anne Hathaway,Interstellar,2017,"In Interstellar, Anne Hathaway had a large role.",large
Anne Hathaway,Passengers,2017,"In Passengers, Anne Hathaway had a small role.",small
Anne Hathaway,The Other Side of Heaven,2017,"In The Other Side of Heaven, Anne Hathaway had a small role.",small
Anne Hathaway,Valentino: The Last Emperor,2017,"In Valentino: The Last Emperor, Anne Hathaway had a small role.",small
Anne Hathaway,Dark Waters,2018,"In Dark Waters, Anne Hathaway had a large role.",large
Anne Hathaway,Ocean's 8,2018,"In Ocean's 8, Anne Hathaway had a large role.",large
Anne Hathaway,The Hustle,2018,"In The Hustle, Anne Hathaway had a large role.",large
Anne Hathaway,Serenity,2019,"In Serenity, Anne Hathaway had a large role.",large
Anne Hathaway,The Last Thing He Wanted,2020,"In The Last Thing He Wanted, Anne Hathaway had a large role.",large
Anne Hathaway,The Witches,2020,"In The Witches, Anne Hathaway had a large role.",large
Anne Hathaway,Locked Down,2021,"In Locked Down, Anne Hathaway had a large role.",large
Anne Hathaway,Armageddon Time,2022,"In Armageddon Time, Anne Hathaway had a large role.",large
Anne Hathaway,Eileen,2023,"In Eileen, Anne Hathaway had a large role.",large
Anne Hathaway,Flowervale Street,2023,"In Flowervale Street, Anne Hathaway had a large role.",large
Anne Hathaway,She Came to Me,2023,"In She Came to Me, Anne Hathaway had a large role.",large
Anne Hathaway,Verity,2023,"In Verity, Anne Hathaway had a large role.",large
Anne Hathaway,"Celine Jennings | Also producer | style=""text-align: center;"" | {{cite web |last1=Wiseman |first1=Andreas |title=Anton Launches Jessica Chastain-Anne Hathaway Thriller",2024,"In Celine Jennings | Also producer | style=""text-align: center;"" | {{cite web |last1=Wiseman |first1=Andreas |title=Anton Launches Jessica Chastain-Anne Hathaway Thriller, Anne Hathaway had a small role.",small
Anne Hathaway,The Idea of You,2024,"In The Idea of You, Anne Hathaway had a large role.",large
Anne Hathaway,Mother Mary,2026,"In Mother Mary, Anne Hathaway had a large role.",large
Anne Hathaway,The Devil Wears Prada 2,2026,"In The Devil Wears Prada 2, Anne Hathaway had a large role.",large
Anne Hathaway,The Odyssey,2026,"In The Odyssey, Anne Hathaway had a large role.",large
Anne Hathaway,Alone at Dawn,2050,"In Alone at Dawn, Anne Hathaway had a large role.",large
